group,name,source,source_px,web_px
projects/spring-creek,card,1_P1010021.JPG,2272x1704,2272x1704
projects/franklin-tower,card,fsh_franklin-tower-new-york-ny-primary-photo.jpg,650x433,650x433
projects/brookchester-court,card,1_BrookchesterEntry051307 001 (2).jpg,640x480,640x480
projects/prosperite-barge,card,prosp_cruising4.jpg,720x470,720x470
projects/parkwood-sports-complex,card,03_Exterior ViewA.JPG,3872x2592,2800x1874
projects/86-chambers,card,003056_3.jpg,3900x2896,2800x2079
projects/the-new-yorker,card,1_IMG_1275-b(FR)_new.jpg,4368x2912,2800x1867
projects/williamsburg-terrace,card,1 (1).jpg,645x430,645x430
projects/orchard-street-hotel,card,14a017059974afca5b8a99f81f28f01b.jpg,573x430,573x430
site,brooklyn-bridge-park-aerial,fsh_bridgepark_helishoot-2577.jpg,5760x3840,2800x1867
people,robert-a-levine,ral_cropped_selects_robert.jpg,2150x2750,1251x1600
people,vincent-cangelosi,ral_cropped_selects_vincent.jpg,2150x2750,1251x1600
people,spencer-levine,spencer0090-crop.jpg,3673x4805,1223x1600
people,josh-wein,ral_cropped_selects_josh.jpg,2150x2750,1251x1600
people,stuart-taft,ral_cropped_selects_stewart.jpg,2150x2750,1251x1600
people,jerry-gallo,ral_cropped_selects_jerry.jpg,2150x2750,1251x1600
people,david-sorenson,d_sorenson.jpg,2150x2750,1251x1600
people,tom-casciano,ral_cropped_selects_tom.jpg,2150x2750,1251x1600
people,douglas-eisenstein,doug_eisenstein-new.jpg,321x432,321x432
people,valerie-kirsten,kgp2019_ral_headshots-29.jpg,1300x1663,1251x1600
people,david-wu,ral_cropped_selects_david.jpg,2150x2750,1251x1600
people,leah-rosen,l_volpe.jpg,2150x2750,1251x1600
people,matt-delia,ral_cropped_selects_matt.jpg,2150x2750,1251x1600
